id,course_id,tee_box_name,hole_number,par,yardage,meters,handicap
d21e9693-9cfe-4d3a-b23c-54ad70d752b0,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),8,4,438,,
d2437b1a-e659-4a74-9e9f-9d10465d44ce,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow (w) Re-Rate 1,14,3,168,,
d25b8919-49f6-4bb5-b67c-9b7f7a593341,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow,13,5,545,,
d2986f12-6178-4a7a-a1f4-f116dc1e984a,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,16,4,392,,
d298da75-1802-42fa-90be-cea955d66c2c,519f37fb-65ec-412a-a241-838c7a30a05d,White (w) Re-Rate 1,2,4,439,,
d2bb7278-50bb-47b3-97c0-bb2b51784183,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New,5,4,366,,
d3096136-d703-4541-8534-ea7e4f8a965a,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),4,5,482,,
d4332d68-ed21-484c-96d7-513cb8afeedf,519f37fb-65ec-412a-a241-838c7a30a05d,Blue,10,4,380,,
d4eef0fe-6a35-4baa-8cbc-aaf2f7adfc29,519f37fb-65ec-412a-a241-838c7a30a05d,White (w) Re-Rate 1,8,4,438,,
d60bc158-e167-4fcd-8bb0-c67e0b0eecda,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,18,5,447,,
d7cad89c-0ee3-41ed-ba24-94435978bb3d,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,4,5,482,,
d81c91f6-58c1-4576-b4cc-4fc38b6c3166,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,13,5,469,,
d94913d1-3ecd-4847-833b-709a6b0755a8,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,1,4,339,,
da1c6dd8-d50f-47f2-a58d-ceef66488995,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),17,3,206,,
dab07438-a8fb-439f-b14d-edfaa11a7586,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,5,4,326,,
dade26e1-cbcc-4e14-9139-6eb3bb576f09,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New,9,5,486,,
db377eda-a984-4905-bb6a-8e8bf671ade3,519f37fb-65ec-412a-a241-838c7a30a05d,Blue(w),3,3,150,,
db4ac809-f6a7-4745-885f-d7b9f3a09b45,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,3,3,153,,
db94580d-8f7e-4399-bc87-8b56a3624d5e,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New (w),15,4,332,,
dbfc7265-e17e-4860-a061-8d0116e23549,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,10,4,368,,
dc6bbd9a-05c6-4a8e-b5d5-6a8110fcf3b1,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,9,5,486,,
dc6fe253-1eff-4247-8113-036529597ab0,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New,16,4,392,,
dc8dfb69-ac7b-4716-a4be-24a56c333fbb,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,13,5,465,,
dcc5575e-80ef-42ea-ad72-e1fabe0d777a,519f37fb-65ec-412a-a241-838c7a30a05d,Red Re-Rate 1,12,4,335,,
dd06f78a-d0a8-44b1-a94d-ab7a13df6c28,519f37fb-65ec-412a-a241-838c7a30a05d,White (w) Re-Rate 1,15,4,378,,
dd6f1de7-0dee-4ade-982a-6ba7d2b10e88,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow - New,6,3,196,,
de16309c-a46e-4361-bc3a-d40b81c899c9,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),14,3,161,,
de297cff-b635-4ae1-a330-64c806b0aad2,519f37fb-65ec-412a-a241-838c7a30a05d,Blue(w),8,4,385,,
de3f7363-fe27-4b40-9f8b-93f7590262a0,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow (w) Re-Rate 1,10,4,413,,
de93271e-aa3a-46ba-a225-df836e0ebc61,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New (w),7,4,363,,
de95e9f3-f844-4536-bd4a-2f0b9115a8ac,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),13,5,521,,
e050b601-b208-474a-81c3-b9dbae2a30be,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,1,4,307,,
e0987abe-1815-43ec-b44f-916e30158931,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New (w),14,3,155,,
